"Player.id","Player.name","Team.ID","Team.Name","total_shots","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Offensive Action","Goal","Promising Action","From inside the Penalty Area","Deflected","Corner","Big Chance","Direct Free Kick","Headed Shot","Post","Other"
7747,"Taras Stepanenko",577,"Ukraine",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
7766,"Leroy Sane'",11,"Germany",7,4,0,6,4,3,1,3,0,0,2,3,1,0,0,1,0,0,0
7798,"Fabian Schar",418,"Switzerland",6,3,2,2,1,0,3,3,0,0,1,5,1,0,1,0,1,0,0
7809,"Breel Embolo",418,"Switzerland",7,6,2,2,1,2,5,1,0,2,2,6,0,0,3,0,0,0,0
7814,"Federico Dimarco",1,"Italy",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7845,"Andriy Yarmolenko",577,"Ukraine",3,1,1,2,1,0,1,2,0,0,0,2,0,0,1,0,0,0,0
7904,"Aymeric Jean Louis Gerard Alphonse Laporte",2,"Spain",4,1,0,2,2,1,0,3,0,0,1,2,0,0,0,0,2,0,0
8131,"Bryan Cristante",1,"Italy",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8214,"Emre Can",11,"Germany",2,1,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0
8359,"Patrik Schick",263,"Czechia",5,5,1,3,1,3,0,0,0,1,3,4,0,0,1,0,1,0,1
8549,"Jan Vertonghen",428,"Belgium",1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8564,"Virgil Van Dijk",411,"Netherlands",4,2,0,1,0,2,1,2,0,0,2,4,1,0,0,0,2,1,0
8585,"Ricardo Rodriguez",418,"Switzerland",3,1,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8589,"Kevin De Bruyne",428,"Belgium",11,8,1,0,8,6,11,3,0,1,3,3,0,0,2,2,0,0,0
8627,"Sergej Milinkovic-Savic",467,"Serbia",3,1,0,0,2,1,2,2,0,0,1,1,0,0,0,0,1,0,0
8666,"Mattia Zaccagni",1,"Italy",1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
8717,"Rey Manaj",463,"Albania",2,2,0,0,0,2,1,0,0,0,1,2,0,0,1,0,1,0,0
8755,"Antonio Rudiger",11,"Germany",4,2,1,0,2,1,2,2,0,0,1,2,1,0,0,0,2,0,0
8950,"Ante Budimir",4,"Croatia",3,2,0,2,0,2,0,1,0,0,2,3,1,0,1,0,1,0,0
9064,"Andraz Sporar",516,"Slovenia",5,1,0,3,2,1,2,4,0,0,1,3,2,0,2,0,0,0,0
9188,"Mario Pasalic",4,"Croatia",3,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,3,0,0
9271,"Kieran Trippier",16,"England",1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
9297,"Ondrej Duda",475,"Slovakia",3,1,0,0,1,0,1,1,1,1,0,2,0,0,1,0,2,0,0
9347,"Jon Gorenc Stankovic",516,"Slovenia",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9406,"Romelu Lukaku",428,"Belgium",12,10,2,4,0,8,8,2,0,0,6,12,0,0,2,0,0,0,0
9542,"Denis Alibec",486,"Romania",1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
9556,"Andreas Christensen",322,"Denmark",3,0,0,0,1,0,2,3,0,0,0,2,0,0,1,0,1,0,0
9565,"Jonathan Tah",11,"Germany",1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
9759,"Joao Pedro Cavaco Cancelo",427,"Portugal",2,1,1,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0
9803,"Luka Jovic",467,"Serbia",1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
9831,"Joshua Kimmich",11,"Germany",8,5,3,2,4,2,5,3,0,0,4,4,0,0,0,0,1,0,0
9863,"Grant Hanley",462,"Scotland",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0
9912,"Peter Pekarik",475,"Slovakia",2,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
10018,"Granit Xhaka",418,"Switzerland",4,4,1,3,2,3,0,0,0,0,0,2,0,0,0,0,1,0,0
10024,"John Stones",16,"England",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
10072,"Oleksandr Zinchenko",577,"Ukraine",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
